Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
8444,MITSU,COMPACT,2,not-recorded,AV6,missing,132.28 MPG (AS),-9999,0.56 L/10km,211
8445,RYUNDAI,SUV - SMALL,3.6,6,AS6,X,1.83 L/10km,27.49 MPG (AS),7.18 km/L,239
8446,CHEVO,MID-SIZE,1.8,4,AV,X,7.92 km per L,15.26 liters per 100 km,1.38 L/10km,168
8447,JIPU,SUV - SMALL,2.4,4,missing,X,8.00 L/100km,4.20 km per L,15.10 L/100 km,227
8448,LAND CRAWLER,SUV - STANDARD,5.7,8,AS8,Z,10.53 MPG (AS),4.85 km per L,2.16 L/10km,290
8449,BMV,FULL-SIZE,not-recorded,4,AS8,Z,24.83 km per L,8.66 L/100 km,6.11 liters per 100 km,204
8450,FOLD,SUV - STANDARD,2,4,AS6,E,2.96 km/L,18.58 L/100km,26.94 liters per 100 km,303
8451,BMV,FULL-SIZE,3,6,AS8,Z,9999,,9.33 km/L,227
8452,FOLD,SUV - SMALL,2.5,4,AS6,X,6.07 km per L,0.63 L/10km,0,221
8453,KIO,FULL-SIZE,2,4,M6,unspecified,3.64 liters per 100 km,9.87 km/L,35.85 MPG (AS),183
8454,LECUS,SUBCOMPACT,3.5,,AS6,Z,0.50 L/10km,10.96 L/100km,,274
8455,CHEVO,FULL-SIZE,3.6,,AS6,X,37.36 liters per 100 km,25.97 mpg Imp.,25.44 L/100 km,264
8456,NIRRAN,PICKUP TRUCK - SMALL,2.5,4,A5,X,3.87 km per L,6.25 L/100km,1.70 L/10km,292
8457,CHEVO,SUBCOMPACT,1.4,4,M5,X,32.90 mpg Imp.,29.88 MPG (AS),8.26 liters per 100 km,171
8458,BMV,missing,3,6,A8,Z,52.83 km per L,1.31 L/10km,0.69 L/10km,219
8459,DOGE,SUV - STANDARD,6.4,8,A8,Z,4.31 km per L,15.25 liters per 100 km,19.63 L/100 km,428
8460,BARUSU,SUV - SMALL,3.6,,AV6,X,8.76 mpg Imp.,15.57 MPG (AS),24.54 L/100km,251
8461,MITSU,COMPACT,,4,AV6,X,22.45 MPG (AS),171.24 MPG (AS),36.87 MPG (AS),200
8462,DOGE,MID-SIZE,6.4,8,A5,Z,0.73 L/10km,15.61 km/L,14.53 km/L,316
8463,KIO,MID-SIZE,2,4,AS6,X,2.35 L/100km,75.26 km/L,52.83 km/L,195
8464,NIRRAN,PICKUP TRUCK - SMALL,4,6,A5,X,5.28 L/100 km,20.12 liters per 100 km,1.20 L/10km,298
8465,CHEVO,MID-SIZE,2,4,AS8,Z,105.48 mpg Imp.,1.38 L/10km,13.03 km per L,210
8466,TOLVO,SUV - SMALL,3,6,AS6,X,52.39 MPG (AS),10.99 km/L,43.04 mpg Imp.,283
8467,TOYOTI,MID-SIZE,1.8,4,AV,-1,16.96 MPG (AS),9.36 MPG (AS),-1,155
8468,CHEVO,PICKUP TRUCK - STANDARD,3.8,,A6,X,28.50 L/100km,1.08 L/10km,20.52 L/100 km,312
8469,DOGE,MID-SIZE,2.4,4,M6,X,10.56 km per L,24.11 MPG (AS),24.50 MPG (AS),215
8470,BMV,COMPACT,3,6,AS8,Z,7.52 km/L,31.78 mpg Imp.,11.31 L/100 km,238
8471,FOLD,SUV - STANDARD,3.5,,AS6,X,6.70 liters per 100 km,9999,39.05 MPG (AS),331
8472,MATSUDA,MID-SIZE,2,4,M6,X,zero,36.40 MPG (AS),3.12 L/100km,404.043421
8473,CHEVO,SUV - SMALL,3.6,6,,X,5.19 km/L,21.24 liters per 100 km,11.67 MPG (AS),265
8474,FOLD,MID-SIZE,2.7,6,AS6,X,5.74 L/100km,21.74 L/100km,7.73 km per L,285
8475,CHEVO,SPECIAL PURPOSE VEHICLE,5,8,AV,X,4.88 L/100km,1.75 L/100km,0.35 L/10km,227
8476,CHEVO,COMPACT,1.4,4,M6,X,89.93 MPG (AS),16.07 L/100 km,32.58 mpg Imp.,158
8477,LAND CRAWLER,SUV - STANDARD,5,8,AS8,Z,34.56 L/100 km,26.56 liters per 100 km,30.96 L/100 km,349
8478,KIO,FULL-SIZE,2.4,,AS6,not-recorded,3.26 km per L,9.40 L/100 km,11.14 MPG (AS),190
8479,FOLD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,72.17 L/100 km,121.62 km/L,40.06 L/100 km,402
8480,RYUNDAI,MID-SIZE,,4,AS6,X,0.79 L/100km,184.49 MPG (AS),232.86 MPG (AS),102
8481,BMV,missing,,4,AS8,Z,11.37 MPG (AS),40.60 mpg Imp.,14.51 L/100 km,208
8482,NIRRAN,PICKUP TRUCK - SMALL,2.5,-1,A5,X,14.86 km/L,21.71 liters per 100 km,7.42 km/L,294
8483,FOLD,SUV - STANDARD,2.3,4,AS6,X,262.21 mpg Imp.,13.34 L/100 km,6.60 L/100km,268
8484,FIAR,TWO-SEATER,1.4,4,,X,9.81 km per L,4.05 L/100 km,13.46 km per L,201
8485,TOLVO,MID-SIZE,2,4,AS8,Z,0.39 L/10km,0.10 L/10km,2.56 liters per 100 km,210
8486,ASURA,COMPACT,2,4,AS5,Z,1.18 liters per 100 km,1.05 L/100 km,0.11 L/10km,187
8487,NIRRAN,MID-SIZE,2,4,,X,9.54 km per L,75.67 MPG (AS),13.96 km per L,199
8488,RYUNDAI,COMPACT,,4,M6,X,zero,12.42 km/L,12.76 liters per 100 km,164
8489,RYUNDAI,MID-SIZE,1.8,4,AS6,X,14.09 L/100 km,81.28 MPG (AS),9.05 L/100km,136
8490,BMV,TWO-SEATER,2,4,AS8,Z,15.80 MPG (AS),0.44 L/10km,1.02 L/10km,214
8491,FOLKSWA,COMPACT,2,4,A6,D,17.88 km per L,16.66 liters per 100 km,9.46 km per L,210
8492,NIRRAN,SUV - SMALL,3.5,6,AV,X,31.04 MPG (AS),,6.56 liters per 100 km,262
8493,FOLKSWA,COMPACT,3,,AS6,Z,347.40 km/L,,40.72 km/L,273
8494,CHEVO,SUV - STANDARD,5.3,8,missing,E,9.52 L/100 km,0.33 L/10km,6.71 L/100km,301
8495,LECUS,SUBCOMPACT,3.5,6,AS6,Z,23.88 MPG (AS),27.14 km per L,14.13 km per L,261
8496,CHEVO,PICKUP TRUCK - STANDARD,,6,A6,X,16.13 km per L,14.72 mpg Imp.,12.04 L/100km,366.7841815
8497,MATSUDA,COMPACT,2,4,M6,X,1.24 L/10km,2.17 L/10km,16.59 liters per 100 km,183
8498,CHEVO,SUV - STANDARD,2.4,4,A6,X,3.17 km per L,1.64 L/10km,11.42 mpg Imp.,479
8499,BMV,COMPACT,4.4,8,AS8,Z,9.79 mpg Imp.,32.27 L/100 km,3.29 km per L,290
8500,CHEVO,PICKUP TRUCK - SMALL,3.6,,missing,X,14.68 L/100km,2.20 L/10km,17.98 L/100km,245
8501,CADILUXE,FULL-SIZE,3,6,AS8,Z,22.37 mpg Imp.,0.39 L/100km,7.12 L/100 km,278
8502,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,17.79 MPG (AS),13.20 L/100km,13.21 L/100 km,303
8503,TOYOTI,SUV - STANDARD,3.5,6,AS8,X,3.89 L/10km,10.32 L/100km,2.60 L/10km,229
8504,ASURA,COMPACT,3.5,6,AS9,Z,3.42 L/10km,8.36 liters per 100 km,12.50 mpg Imp.,211
8505,BARUSU,SUV - SMALL,3.6,,AV6,X,5.14 km/L,13.99 L/100 km,16.62 mpg Imp.,259
8506,JIPU,SUV - SMALL,1.4,4,M6,X,,4.77 liters per 100 km,15.85 km per L,214
8507,BMV,SUV - SMALL,3,6,AS8,Z,-1,9.31 MPG (AS),30.45 L/100 km,356
8508,LECUS,SUV - STANDARD,3.5,6,AV6,Z,0.44 liters per 100 km,19.54 L/100km,31.26 mpg Imp.,199
8509,CHEVO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,11.24 mpg Imp.,zero,20.31 liters per 100 km,294
8510,BMV,SUBCOMPACT,3.5,,AS8,Z,100.06 MPG (AS),1.14 L/10km,36.60 MPG (AS),239
8511,MATSUDA,MINIVAN,2.5,4,AS5,X,1.41 L/10km,180.78 MPG (AS),33.96 mpg Imp.,223
8512,MATSUDA,MID-SIZE,2.5,4,AS6,X,0.62 L/100km,0.08 L/10km,331.10 MPG (AS),173
8513,FOLD,SUV - SMALL,,4,AS6,X,1.01 L/10km,3.02 L/100km,14.48 km per L,238
8514,LAND CRAWLER,SUV - STANDARD,5,8,AS8,Z,21.03 L/100km,19.76 km per L,13.85 L/100km,360
8515,TOYOTI,PICKUP TRUCK - STANDARD,5.7,8,na,X,8.06 km per L,74.96 MPG (AS),34.31 mpg Imp.,400
8516,MITSU,SUV - SMALL,2.4,4,-1,X,8.67 km/L,33.88 mpg Imp.,27.97 mpg Imp.,203
8517,FIAR,MINICOMPACT,1.4,4,,X,21.34 km/L,10.45 L/100km,0.73 L/10km,192
8518,ASURA,MID-SIZE,3.7,,AS6,Z,18.70 MPG (AS),8.86 L/100 km,10.90 L/100 km,255
8519,NIRRAN,MINIVAN,3.5,6,AV,X,12.51 km/L,17.88 liters per 100 km,1.24 L/10km,252
8520,TOYOTI,unestablished,2.5,4,AV,X,5.99 km per L,5.50 MPG (AS),3.52 km/L,155
8521,RYUNDAI,SUV - SMALL,,4,A6,X,21.56 km/L,4.22 km/L,7.57 km per L,230
8522,JIPU,SUV - SMALL,2.4,4,A9,X,1.42 liters per 100 km,9.75 liters per 100 km,0.52 L/10km,598.0896437
8523,TOYOTI,COMPACT,2,4,AV10,X,18.36 mpg Imp.,6.69 km/L,15.19 L/100km,173
8524,TOYOTI,COMPACT,2.4,4,M6,X,80.34 mpg Imp.,4.01 km per L,13.16 L/100 km,180
8525,GONDA,MID-SIZE,2,4,AS10,X,50.75 km/L,200.93 mpg Imp.,1.72 L/100km,215
8526,TOLVO,COMPACT,,4,AS8,Z,4.19 km/L,76.15 km per L,13.72 liters per 100 km,205
8527,FOLKSWA,COMPACT,3.6,6,AS6,X,19.98 L/100 km,7.24 liters per 100 km,14.25 L/100km,275
8528,FOLD,MID-SIZE,1.5,4,AS6,X,26.23 MPG (AS),8.99 km/L,9.94 liters per 100 km,202
8529,CHEVO,VAN - CARGO,2,4,A4,X,3.56 km/L,3.28 L/100km,1.69 L/10km,348
8530,LAMBOGI,TWO-SEATER,6.5,12,AM7,Z,6.66 km/L,27.36 L/100 km,11.43 MPG (AS),452
8531,TOYOTI,SUV - SMALL,,not-available,AS6,X,18.34 mpg Imp.,2.03 L/100 km,9.39 liters per 100 km,242
8532,GONDA,STATION WAGON - SMALL,1.8,4,AV,X,19.39 L/100km,0.33 L/10km,12.16 L/100 km,199
8533,KIO,COMPACT,1.6,4,M6,X,0.97 L/10km,15.57 L/100 km,8.09 km per L,152
8534,JIPU,SUV - SMALL,3.2,6,A9,X,5.85 MPG (AS),21.55 liters per 100 km,31.82 liters per 100 km,247
8535,CADILUXE,FULL-SIZE,3.6,6,AS6,X,16.24 liters per 100 km,10.99 km/L,13.03 L/100 km,248
8536,TOYOTI,MID-SIZE,2.5,4,AV,X,0.94 L/10km,9.92 km/L,9.69 liters per 100 km,181
8537,MATSUDA,TWO-SEATER,,4,AS6,Z,3.81 km/L,9999,4.90 km/L,199
8538,LECUS,COMPACT,,-1,AV6,X,6.50 km/L,12.04 km/L,1.22 L/10km,237.9066326
8539,GONDA,MID-SIZE,3.5,6,AS6,X,53.33 L/100 km,30.10 km/L,30.82 liters per 100 km,217
8540,KIO,FULL-SIZE,1.6,not-available,AS6,X,8.18 km per L,14.46 liters per 100 km,13.23 L/100km,219
8541,FOLD,PICKUP TRUCK - STANDARD,5,8,AS10,X,22.25 MPG (AS),428.58 mpg Imp.,0.61 L/10km,288
8542,CADILUXE,MID-SIZE,,4,AS6,Z,-1,18.99 L/100 km,,239
8543,NIRRAN,PICKUP TRUCK - SMALL,2.5,4,A5,na,19.31 liters per 100 km,22.31 MPG (AS),6.51 km/L,300
8544,GONDA,MINIVAN,3.5,6,AS9,X,6.83 km per L,0.74 L/10km,1.14 L/10km,261
8545,NIRRAN,PICKUP TRUCK - SMALL,4,6,A5,X,5.07 L/100km,2.98 liters per 100 km,4.13 L/100km,317
8546,CHEVO,SPECIAL PURPOSE VEHICLE,2,4,AV,X,145.93 mpg Imp.,1.00 L/10km,5.58 L/100km,222
8547,KIO,MID-SIZE,2.5,4,M6,X,311.02 km/L,13.87 km per L,3.42 L/100 km,184
8548,MATSUDA,COMPACT,3.5,unknown,AS6,X,15.11 mpg Imp.,22.42 MPG (AS),15.68 MPG (AS),169
8549,KIO,MID-SIZE,,4,AS8,Z,23.09 liters per 100 km,1.73 L/100km,13.47 L/100 km,276
8550,FIAR,MINICOMPACT,1.4,4,A6,X,3.65 km per L,19.84 MPG (AS),4.90 km/L,194
8551,TOLVO,SUV - SMALL,2,not-available,AS8,Z,13.31 L/100km,19.33 MPG (AS),12.80 liters per 100 km,219
8552,BARUSU,SUV - SMALL,2.7,6,AV8,X,6.46 km/L,13.71 liters per 100 km,19.23 mpg Imp.,200
8553,NIRRAN,SUV - SMALL,2.5,4,AV,X,13.86 liters per 100 km,119.59 mpg Imp.,11.51 km per L,202
8554,BMV,COMPACT,4.4,8,,Z,138.17 MPG (AS),9.53 L/100km,0.52 L/10km,307
8555,CHEVO,PICKUP TRUCK - SMALL,2.8,4,A6,D,13.92 L/100km,16.55 L/100km,15.10 L/100km,328
8556,FOLD,COMPACT,2,4,A6,X,9.13 km per L,26.70 mpg Imp.,26.20 mpg Imp.,154
8557,TOLVO,MID-SIZE,2,4,AS8,Z,4.61 km/L,20.76 mpg Imp.,13.02 MPG (AS),202
8558,CHEVO,SUV - SMALL,3.7,6,A6,X,0.64 L/10km,14.27 mpg Imp.,8.03 km/L,296
8559,GONDA,FULL-SIZE,not-available,6,AV,X,2.88 L/100 km,10.71 liters per 100 km,15.62 km per L,156
8560,FIAR,MINICOMPACT,2,4,A6,X,60.31 mpg Imp.,15.12 L/100km,0.94 L/10km,213
8561,FOLKSWA,STATION WAGON - SMALL,1.8,4,not-available,X,5.07 km per L,13.45 km per L,14.20 L/100km,289.2375886
8562,FOLD,PICKUP TRUCK - STANDARD,2.4,4,AS10,X,19.29 L/100 km,2.06 L/10km,14.22 mpg Imp.,322
8563,BMV,SUBCOMPACT,3,6,M6,Z,11.98 MPG (AS),199.28 km/L,1.10 L/10km,234
8564,KIO,STATION WAGON - MID-SIZE,5.2,,M6,X,19.60 L/100km,11.86 liters per 100 km,1.61 L/10km,217
8565,CHEVO,MID-SIZE,1.4,4,AS6,X,10.22 km per L,21.86 mpg Imp.,25.24 mpg Imp.,202.598173
8566,LECUS,SUV - STANDARD,4.6,8,AS6,Z,15.71 mpg Imp.,6.94 km per L,16.37 liters per 100 km,331
8567,DOGE,FULL-SIZE,4.6,8,A8,Z,21.20 L/100km,9.36 km per L,6.07 km per L,321
8568,NIRRAN,SUV - SMALL,,unestablished,AV,X,6.03 L/100 km,14.84 L/100km,28.27 mpg Imp.,244
8569,FOLD,FULL-SIZE,3.5,6,AS6,X,1.82 L/10km,17.72 MPG (AS),15.98 L/100km,255
8570,TOLVO,SUV - SMALL,2,4,AS8,Z,30.78 mpg Imp.,10.23 liters per 100 km,0.97 L/10km,240
8571,CADILUXE,FULL-SIZE,not-recorded,6,AS6,X,16.82 L/100km,1.98 L/10km,18.18 L/100km,262
8572,FOLD,SUV - STANDARD,3.5,,AS6,E,20.46 L/100 km,16.56 L/100km,12.57 MPG (AS),301
8573,KIO,STATION WAGON - SMALL,1.6,4,AM6,X,22.53 MPG (AS),44.95 km/L,14.83 km/L,180
8574,LECUS,SUV - SMALL,-1,4,AS6,Z,0,19.40 km per L,4.76 liters per 100 km,225
8575,CHEVO,SUV - STANDARD,5.3,8,A6,X,15.09 L/100km,13.27 mpg Imp.,15.80 mpg Imp.,396
8576,BMV,COMPACT,3,6,M6,Z,13.00 L/100 km,15.86 MPG (AS),13.82 L/100 km,272
8577,MATSUDA,COMPACT,2,4,M6,X,,9.83 km/L,8.65 L/100 km,163
8578,BMV,SUBCOMPACT,3,,AS8,Z,60.77 MPG (AS),10.32 L/100km,0.68 L/10km,223
8579,BMV,-1,3,unestablished,AM7,Z,11.72 mpg Imp.,24.92 liters per 100 km,,292
8580,JIPU,SUV - SMALL,5,8,A9,X,7.27 MPG (AS),28.52 MPG (AS),13.14 mpg Imp.,265
8581,JIPU,SUV - SMALL,2.4,4,A8,X,12.30 mpg Imp.,0,1.42 L/10km,272
8582,BMV,SUV - STANDARD,4.4,8,AS8,Z,17.09 MPG (AS),29.02 mpg Imp.,8.37 km/L,288
8583,BMV,COMPACT,3,6,AM7,Z,19.81 L/100 km,16.12 mpg Imp.,5.32 km per L,293
8584,KIO,MID-SIZE,2,4,M6,X,85.92 MPG (AS),15.63 mpg Imp.,10.37 km/L,178
8585,CHEVO,COMPACT,1.4,4,AS6,X,5.36 km/L,1.55 liters per 100 km,1.10 L/10km,108
8586,LAND CRAWLER,SUV - STANDARD,3,6,AS8,Z,36.63 liters per 100 km,3.58 L/100 km,2.18 L/10km,256
8587,CHEVO,MID-SIZE,2,4,AS6,D,1.22 L/10km,1.72 L/10km,6.93 km per L,188
8588,DOGE,FULL-SIZE,3.6,6,A8,X,14.54 liters per 100 km,24.41 MPG (AS),22.90 mpg Imp.,252
8589,TOYOTI,MID-SIZE,3.5,6,AS8,X,56.18 MPG (AS),4.90 L/100km,4.51 liters per 100 km,299.0414932
8590,JIPU,SUV - SMALL,1.3,4,A9,X,100.14 MPG (AS),8.92 L/100km,0.53 L/10km,213
8591,NIRRAN,COMPACT,1.6,unestablished,M5,X,38.77 mpg Imp.,0.18 L/10km,,171
8592,RYUNDAI,SUV - SMALL,2,4,AS6,X,5.53 L/100km,1.60 L/10km,22.91 MPG (AS),204
8593,LECUS,SUBCOMPACT,,8,AS10,Z,0.94 L/10km,39.75 mpg Imp.,28.17 MPG (AS),302
8594,DOGE,FULL-SIZE,6.4,8,A8,not-recorded,22.56 MPG (AS),11.15 mpg Imp.,13.73 MPG (AS),340
8595,FOLD,SUV - SMALL,,3,A8,X,19.72 liters per 100 km,,4.78 km/L,182
8596,LAND CRAWLER,SUV - STANDARD,5,not-recorded,AS8,Z,15.54 L/100km,19.17 liters per 100 km,16.45 mpg Imp.,309
8597,LECUS,unknown,4.4,8,AS6,Z,9.23 mpg Imp.,6.37 km per L,23.90 L/100 km,370
8598,FOLD,PICKUP TRUCK - STANDARD,unspecified,8,AS6,X,3.35 km/L,7.83 km per L,22.19 L/100km,422
8599,MITSU,COMPACT,2,4,AV6,X,33.47 MPG (AS),44.08 km/L,4.89 L/100 km,199
8600,CHEVO,SUV - SMALL,2.4,4,A6,X,6.30 km/L,32.34 mpg Imp.,22.30 mpg Imp.,224
8601,MITSU,COMPACT,2,4,M5,X,19.05 MPG (AS),8.59 km/L,19.55 MPG (AS),209
8602,FOLD,,1.6,4,AS10,X,2.10 L/10km,17.76 L/100 km,5.12 km per L,278
8603,CHEVO,COMPACT,3.6,6,AS6,X,204.95 mpg Imp.,40.12 km per L,53.20 km per L,237
8604,BMV,SUBCOMPACT,5.6,8,na,Z,27.06 MPG (AS),8.69 km per L,10.04 km per L,242
8605,FOLD,SUV - STANDARD,2,4,AS6,X,24.26 liters per 100 km,10.21 L/100km,5.57 km per L,298
8606,CHEVO,SUV - STANDARD,5.3,8,A6,E,2.73 L/10km,7.30 km/L,21.19 L/100km,293
8607,CHEVO,PICKUP TRUCK - STANDARD,3,6,A6,X,5.17 km per L,19.93 L/100 km,19.61 liters per 100 km,443
8608,GONDA,FULL-SIZE,1.5,4,AV7,Z,0.32 L/100km,46.83 MPG (AS),-9999,162
8609,CHEVO,SUV - STANDARD,5.3,8,A6,X,29.85 L/100km,8.25 L/100 km,2.01 L/10km,313
8610,JIPU,SUV - SMALL,3.6,6,A5,X,27.84 L/100 km,48.99 MPG (AS),5.72 km/L,291
8611,MATSUDA,COMPACT,2,4,M6,X,1.79 L/10km,52.56 MPG (AS),11.86 L/100km,121
8612,JIPU,SUV - SMALL,3.2,6,A9,X,12.92 L/100 km,17.93 MPG (AS),1.30 L/10km,236
8613,BARUSU,SUV - SMALL,2.5,4,M6,X,22.03 km/L,13.51 mpg Imp.,8.40 km per L,228
8614,LAND CRAWLER,SUV - STANDARD,2,4,AS8,Z,4.85 L/100km,3.77 km per L,6.85 km/L,306
8615,TOYOTI,MID-SIZE,,4,AV,X,20.12 km per L,11.95 km/L,6.50 L/100 km,171
8616,CHEVO,COMPACT,1.4,4,AS6,X,0.12 L/10km,106.84 km per L,1.07 L/100km,199
8617,FOLKSWA,COMPACT,,4,missing,Z,8.12 L/100km,6.94 km/L,10.95 liters per 100 km,220
8618,DOGE,FULL-SIZE,,,A8,Z,48.98 mpg Imp.,29.52 liters per 100 km,1.65 L/10km,423
8619,FIAR,STATION WAGON - SMALL,1.4,4,A6,X,9.04 km per L,0,6.24 liters per 100 km,227
8620,RYUNDAI,SUV - SMALL,3.3,,AS6,X,2.60 L/10km,30.09 mpg Imp.,18.54 liters per 100 km,305
8621,FOLD,PICKUP TRUCK - STANDARD,3,,AS10,D,,1.50 L/100km,6.94 km per L,267
8622,FOLKSWA,COMPACT,2,4,AM7,X,6.12 km/L,12.52 km per L,12.59 L/100km,196
8623,CADILUXE,SUV - SMALL,2,4,AS9,Z,18.94 mpg Imp.,10.66 L/100km,13.00 L/100 km,227
8624,NIRRAN,COMPACT,1.6,4,M5,X,9.02 km/L,0.34 L/10km,13.14 km/L,198
8625,FOLKSWA,COMPACT,,4,AS6,X,20.38 MPG (AS),17.10 mpg Imp.,13.78 L/100 km,202
8626,TOYOTI,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,6.64 km per L,7.16 MPG (AS),23.05 L/100 km,350
8627,BMV,SUBCOMPACT,3.5,6,AM7,Z,1.09 L/10km,3.74 L/100 km,13.04 km/L,294
8628,DOGE,SUV - SMALL,2.4,4,A6,X,10.37 MPG (AS),0.01 L/10km,8.00 km/L,266
8629,DOGE,MID-SIZE,6.4,8,A8,Z,0.80 L/10km,0.82 L/10km,29.16 MPG (AS),318
8630,JIPU,SUV - SMALL,2.4,4,A9,X,0.67 L/100km,7.57 km/L,15.85 km/L,219
8631,NIRRAN,COMPACT,1.6,4,AV,X,0.59 L/100km,135.25 mpg Imp.,185.66 MPG (AS),174
8632,GONDA,MID-SIZE,3.5,na,A6,X,8.10 mpg Imp.,6904.37 MPG (AS),19.21 liters per 100 km,223
8633,BMV,COMPACT,2,4,missing,not-available,,1.62 L/10km,2.22 L/10km,203
8634,KIO,MID-SIZE,2.4,not-recorded,AM6,X,4.03 km/L,5.83 km per L,4.68 km per L,152
8635,CHEVO,MID-SIZE,1.5,4,A6,unknown,3.67 L/10km,35.27 km per L,2.14 L/10km,188
8636,JIPU,SUV - SMALL,2,4,M5,X,40.61 mpg Imp.,8.62 L/100km,7.70 liters per 100 km,205
8637,BMV,SUV - STANDARD,4.4,na,AS8,Z,8.99 MPG (AS),16.18 MPG (AS),4.78 km per L,346
8638,LECUS,COMPACT,2,4,AS8,Z,,20.58 mpg Imp.,25.23 MPG (AS),215
8639,BMV,SUV - SMALL,,4,AS8,Z,29.84 MPG (AS),31.17 km/L,5.78 L/100km,261
8640,RYUNDAI,MID-SIZE,2,4,,X,2.28 L/10km,11.39 km/L,16.51 L/100 km,177
8641,LAMBOGI,TWO-SEATER,5.2,10,AM7,Z,2.10 L/10km,12.69 L/100km,16.36 mpg Imp.,393
8642,TOLVO,STATION WAGON - SMALL,2,4,AS8,Z,113.67 MPG (AS),6.04 L/100 km,-1,225
8643,LAMBOGI,TWO-SEATER,5.2,10,AM7,Z,14.80 L/100 km,50.23 mpg Imp.,22.05 MPG (AS),382
8644,KIO,FULL-SIZE,,4,AM7,X,12.97 L/100km,7.26 L/100km,22.62 MPG (AS),212
8645,FOLD,SUBCOMPACT,1.6,4,AS6,X,12.69 km per L,12.29 L/100km,10.14 km per L,146
8646,CHEVO,SUBCOMPACT,1.4,4,M5,X,6.47 km per L,63.27 mpg Imp.,9.52 km per L,176
8647,BMV,COMPACT,4.4,8,A8,Z,37.52 L/100km,20.47 mpg Imp.,3.72 km/L,294
8648,ASURA,SUV - SMALL,3.5,6,AS9,Z,26.00 L/100km,4.93 L/100km,16.52 liters per 100 km,252
8649,LAND CRAWLER,not-recorded,3,,AS8,Z,5.88 MPG (AS),5.00 km per L,31.00 liters per 100 km,324
8650,BMV,COMPACT,missing,8,AS8,Z,6.35 km per L,11.94 L/100km,14.03 L/100 km,301
8651,BMV,MID-SIZE,3,6,unknown,Z,38.34 MPG (AS),2.25 L/10km,20.95 mpg Imp.,460.824377
8652,TOYOTI,MID-SIZE,,4,AV,X,2.47 L/10km,29.64 km per L,6.61 km per L,176
8653,BMV,MID-SIZE,3,6,AS8,Z,0.55 L/100 km,4.15 L/100km,2.17 L/100km,232
8654,NIRRAN,STATION WAGON - MID-SIZE,3.5,,AV7,X,24.36 L/100 km,3.03 L/100km,14.76 L/100km,238
8655,CHEVO,VAN - PASSENGER,6,8,A6,X,170.97 MPG (AS),10.68 liters per 100 km,17.97 km/L,460
8656,FOLD,PICKUP TRUCK - STANDARD,5,8,AS10,X,7.15 km per L,7.41 L/100km,21.34 MPG (AS),313
8657,BARUSU,,5.7,not-recorded,AV7,unestablished,222.81 km per L,19.59 MPG (AS),0.57 L/10km,196
8658,NIRRAN,SPECIAL PURPOSE VEHICLE,2,4,AV,X,17.21 MPG (AS),64.29 mpg Imp.,9.49 L/100km,221
8659,TOYOTI,MID-SIZE,4.4,,AS8,X,0.37 L/10km,-1,0.40 L/10km,174
8660,BMV,FULL-SIZE,4.4,na,A8,Z,16.00 mpg Imp.,4.45 L/100 km,11.71 L/100km,288
8661,CHEVO,SUV - STANDARD,5.3,8,A6,X,0.84 L/10km,10.33 L/100 km,9.26 L/100 km,323
8662,FOLD,VAN - CARGO,2,4,A4,X,8.73 L/100 km,13.02 km per L,0.83 L/10km,341
8663,BARUSU,MINICOMPACT,2,4,M6,Z,9.38 L/100 km,57.76 km per L,47.56 mpg Imp.,235
8664,GONDA,MID-SIZE,1.5,4,M6,Z,9.04 MPG (AS),57.58 MPG (AS),6.19 km per L,165
8665,RYUNDAI,SUV - STANDARD,3.8,6,AS8,X,0.36 L/10km,10.76 L/100 km,14.63 km per L,252
8666,BMV,SUV - SMALL,,4,AS8,Z,14.30 L/100km,1.74 L/10km,6.37 km per L,226
8667,GONDA,COMPACT,1.5,4,M6,X,109.15 mpg Imp.,33.11 mpg Imp.,0.53 L/10km,162
8668,FOLKSWA,COMPACT,1.4,,AS8,X,0.92 L/10km,7.79 L/100 km,32.87 mpg Imp.,96
8669,FOLD,MID-SIZE,2,4,AS6,X,2.39 liters per 100 km,9.61 km/L,39.25 MPG (AS),226
8670,FOLD,SUV - SMALL,2.5,4,AS6,X,16.02 km per L,9.71 km per L,12.40 km per L,219
8671,KIO,STATION WAGON - SMALL,2,4,not-recorded,X,11.57 L/100km,9.57 km/L,11.07 liters per 100 km,209
8672,KIO,SUV - SMALL,2.4,4,AS6,missing,0.93 L/10km,17.85 liters per 100 km,17.88 MPG (AS),222
8673,TOYOTI,MID-SIZE,unknown,4,AS8,X,zero,1.72 L/10km,5.95 km per L,162
8674,RYUNDAI,COMPACT,1.6,4,AS6,X,9.74 L/100km,15.97 km per L,8.18 L/100 km,202
8675,TOYOTI,COMPACT,1.5,4,M5,X,17.91 MPG (AS),13.00 L/100km,13.07 liters per 100 km,169
8676,TOLVO,COMPACT,8.4,10,AS6,X,28.13 MPG (AS),6.11 km/L,23.60 mpg Imp.,256
